@RELATION Pampa_Data

@ATTRIBUTE LOGPcons NUMERIC
@ATTRIBUTE MACCSFP125 NUMERIC
@ATTRIBUTE PCR NUMERIC
@ATTRIBUTE Psi_e_A NUMERIC
@ATTRIBUTE P_VSA_ppp_D NUMERIC
@ATTRIBUTE Mp NUMERIC
@ATTRIBUTE SpMin1_Bh(p) NUMERIC
@ATTRIBUTE Actividad {Act-1,Act1}

@DATA
4.0349,1,1.426,7.7024,18.0108,0.6661,2.0455,Act1
3.907,1,1.3907,7.7222,18.0108,0.6625,2.0323,Act1
3.8853,1,1.4594,7.7667,60.6941,0.6705,2.068,Act1
4.6202,1,1.4803,7.7323,60.6941,0.6677,2.0683,Act1
3.4314,1,1.4037,7.7549,18.0108,0.6592,2.0322,Act1
3.7644,1,1.4005,7.899,18.0108,0.6653,2.0322,Act1
3.3389,1,1.396,7.7731,18.0108,0.6529,2.0323,Act1
3.3389,1,1.4024,7.7731,18.0108,0.6529,2.0323,Act1
3.7448,1,1.3953,7.7333,18.0108,0.6559,2.0322,Act1
4.4725,1,1.4569,7.5811,18.0108,0.6564,2.0763,Act1
4.0267,1,1.5621,7.529,0.0,0.6899,2.1767,Act1
4.809,1,1.4321,7.8012,54.0323,0.6973,2.0792,Act1
4.4305,1,1.4246,7.7583,54.0323,0.6725,2.0862,Act1
4.9348,1,1.4259,7.7265,54.0323,0.6756,2.0914,Act1
2.2963,1,1.4617,7.7348,18.0108,0.6567,2.038,Act1
2.5006,1,1.4505,7.7029,18.0108,0.6516,2.0361,Act1
4.6109,1,1.4069,7.6768,34.7963,0.6474,2.0675,Act1
4.2484,1,1.4783,7.4646,18.0108,0.6805,2.0524,Act1
4.064,1,1.3571,7.8724,16.405,0.6644,2.0799,Act1
4.0302,1,1.4041,7.8185,0.0,0.6818,2.0985,Act1
4.0914,1,1.5157,8.2839,18.0108,0.7015,2.0367,Act1
3.6531,1,1.4115,7.87,32.8972,0.7117,2.0382,Act1
2.9458,1,1.386,7.7917,0.0,0.6512,2.0029,Act1
3.14,1,1.4133,7.8426,16.405,0.6879,2.051,Act1
3.692,1,1.4178,7.8488,16.405,0.6879,2.0601,Act1
3.4607,1,1.4142,7.8125,16.405,0.6818,2.0518,Act1
4.4735,1,1.3766,7.7284,18.0108,0.7111,2.0914,Act1
4.5871,1,1.3668,7.7333,18.0108,0.6926,2.0906,Act1
5.3192,1,1.3668,7.6806,18.0108,0.6912,2.093,Act1
3.159,1,1.2571,7.3567,0.0,0.6866,2.0938,Act1
4.3016,1,1.3713,7.4349,0.0,0.6829,2.1046,Act1
4.0741,1,1.3571,7.6863,18.0108,0.6522,2.0282,Act1
2.7768,1,1.3619,7.9779,0.0,0.6395,2.0631,Act1
2.783,1,1.3613,7.6667,0.0,0.6556,2.0964,Act1
3.2546,1,1.4555,7.8678,36.0215,0.7389,2.0562,Act1
5.4436,1,1.4471,7.6369,18.0108,0.7005,2.035,Act1
3.563,1,1.2646,7.6833,16.7855,0.6318,2.0785,Act1
0.8341,1,1.2938,7.9508,32.8972,0.6706,2.0818,Act-1
2.3015,1,1.2925,8.1997,34.4157,0.7381,2.008,Act1
3.3187,1,1.3274,7.9705,18.0108,0.6861,2.1064,Act1
3.8875,1,1.5537,8.1111,18.0108,0.7054,2.0548,Act1
3.8684,1,1.2904,8.0188,18.0108,0.7354,2.0299,Act1
2.946,1,1.3129,7.8472,0.0,0.6716,2.0423,Act-1
3.5433,1,1.3996,7.6827,18.0108,0.6639,1.9932,Act1
3.5722,1,1.2868,7.72,0.0,0.6609,2.099,Act1
4.2291,1,1.2722,7.75,60.6941,0.6717,2.099,Act-1
2.6593,1,1.2857,7.9983,78.7048,0.6531,2.0737,Act-1
4.6841,1,1.4139,7.7892,36.0215,0.7018,2.0398,Act1
4.7118,1,1.3154,7.8418,0.0,0.7182,2.0508,Act1
4.5232,1,1.3164,7.8556,0.0,0.7071,2.054,Act1
4.2322,1,1.5745,7.8137,34.6738,0.6995,2.1446,Act1
4.9284,1,1.5644,7.7778,34.6738,0.6886,2.1451,Act1
5.0525,1,1.5737,7.6111,18.0108,0.7184,2.068,Act1
3.4415,1,1.5163,7.6197,18.0108,0.6924,2.0581,Act1
4.9385,1,1.4254,7.7097,66.3457,0.6907,2.0402,Act1
2.481,1,1.2872,8.0221,18.0108,0.6555,2.0342,Act1
3.1843,1,1.3121,7.7366,0.0,0.6564,2.0557,Act1
3.9307,1,1.3082,7.9453,18.0108,0.6736,2.0741,Act1
2.7935,1,1.3979,7.7654,50.9079,0.7204,2.1346,Act1
2.4768,1,1.2861,7.7429,0.0,0.6523,2.0564,Act1
3.8437,1,1.4128,8.0086,16.405,0.6684,2.059,Act-1
4.3137,1,1.2184,7.79,96.7156,0.6591,2.0528,Act1
2.4133,0,1.2225,7.8574,32.8972,0.6775,2.0682,Act1
3.5875,1,1.5005,7.7599,95.2453,0.656,2.0749,Act-1
4.1396,1,1.385,7.4541,0.0,0.7223,2.0406,Act1
4.0814,1,1.4291,7.6026,0.0,0.6549,2.0658,Act1
6.8111,1,1.5173,7.5072,18.0108,0.6799,2.1306,Act1
3.9807,1,1.4616,7.6379,0.0,0.646,2.1426,Act1
5.1307,0,1.4309,7.6543,60.6941,0.6191,1.9563,Act1
3.2525,0,1.1932,7.4977,60.6941,0.6398,2.023,Act1
3.5512,1,1.3262,7.5234,0.0,0.6769,2.057,Act1
2.2891,0,1.1002,8.0645,0.0,0.6321,2.1532,Act1
4.3099,1,1.3988,7.85,85.3667,0.6779,2.0725,Act1
6.0115,1,1.3721,7.7444,17.8882,0.7189,2.0239,Act1
2.7412,1,1.3829,7.9195,52.807,0.643,1.9707,Act1
4.9104,0,1.1543,7.1914,0.0,0.618,2.1046,Act1
5.4216,1,1.6066,7.934,36.0215,0.7033,2.1278,Act1
4.6208,1,1.4336,7.7139,18.0108,0.6777,2.1278,Act1
2.0875,1,1.4378,7.8148,16.7855,0.6753,2.0214,Act1
5.0614,1,1.2627,7.4063,18.0108,0.6531,2.0918,Act1
4.3984,1,1.5696,7.3988,18.0108,0.6853,2.1968,Act-1
2.6881,1,1.3561,7.8715,36.0215,0.7937,1.9774,Act1
3.4517,1,1.4865,8.2698,42.6833,0.7119,2.0019,Act1
1.4949,0,1.0329,8.0159,36.0215,0.5992,2.0333,Act1
4.056,1,1.3424,7.413,0.0,0.67,2.0682,Act1
2.1851,1,1.3195,8.2354,78.1922,0.6563,2.0844,Act1
3.1409,0,1.0692,7.3922,60.6941,0.6073,2.1546,Act1
-0.1618,0,1.3299,8.0119,50.9079,0.685,2.0342,Act-1
0.7898,0,1.3299,7.9405,50.9079,0.688,2.0409,Act1
0.8702,0,1.3082,7.8431,50.9079,0.6575,2.0561,Act1
2.8905,1,1.6161,7.598,36.0215,0.7058,2.1151,Act1
1.3353,0,1.2096,8.0167,78.4598,0.5972,2.0175,Act-1
4.4928,1,1.41,7.5202,0.0,0.7205,1.9802,Act1
3.7536,1,1.453,7.8953,60.6941,0.6908,2.1261,Act-1
3.4684,1,1.543,7.8623,0.0,0.7747,2.0086,Act1
3.6484,1,1.6153,7.64,0.0,0.7802,1.9921,Act1
3.5699,1,1.2301,7.3,0.0,0.6732,2.0675,Act1
3.702,1,1.4594,7.4545,34.6738,0.6714,2.032,Act1
4.0641,1,1.3446,7.9505,18.0108,0.653,2.1178,Act1
3.513,1,1.3917,7.6071,18.0108,0.6972,2.0645,Act-1
1.7732,1,1.3266,7.7533,32.8972,0.6551,2.0837,Act1
3.3784,1,1.2854,7.6358,0.0,0.6638,2.0193,Act1
2.8657,1,1.293,7.7667,42.6833,0.674,2.0155,Act1
2.5604,1,1.2895,7.5652,50.9079,0.6765,2.0621,Act-1
3.5042,1,1.3494,7.4907,18.0108,0.7259,2.015,Act1
4.0687,1,1.4497,7.6857,95.3679,0.6558,2.0651,Act-1
3.2268,1,1.3339,8.3067,34.4157,0.7144,2.0937,Act1
2.7074,1,1.3325,8.2645,34.4157,0.6918,2.0938,Act1
2.8818,1,1.3325,8.3563,34.4157,0.7253,2.0914,Act1
3.234,1,1.4495,8.143,81.3192,0.711,2.0664,Act1
3.7472,1,1.3947,7.5977,18.0108,0.6907,2.0305,Act1
4.1702,1,1.4391,7.5679,36.0215,0.6817,2.0729,Act1
3.9842,1,1.5068,7.7794,70.6953,0.7359,2.0209,Act1
5.0205,1,1.3602,7.4948,0.0,0.6985,2.065,Act1
3.8077,1,1.4199,7.6406,18.0108,0.6433,2.147,Act1
1.5845,1,1.3506,7.8409,42.6833,0.6457,2.1404,Act1
5.6407,1,1.4452,8.2044,0.0,0.7978,2.0472,Act1
3.7898,1,1.421,7.6543,18.0108,0.6512,2.0305,Act1
4.5354,1,1.4257,7.7849,18.0108,0.6676,2.054,Act1
4.3929,1,1.4343,7.7586,0.0,0.6408,2.1063,Act1
4.5701,1,1.5471,7.922,34.4157,0.7353,2.0619,Act1
6.2597,1,1.6483,8.0074,18.0108,0.7111,2.1412,Act1
5.6828,1,1.649,7.5,18.0108,0.7146,2.1409,Act1
6.3217,1,1.6492,7.4798,18.0108,0.7017,2.1429,Act1
5.5887,1,1.649,7.6935,18.0108,0.721,2.1389,Act1
3.439,1,1.4834,8.5735,36.0215,0.6847,2.0584,Act1
3.8894,1,1.4834,8.5735,36.0215,0.6847,2.0579,Act1
4.9185,1,1.5233,7.4635,36.0215,0.6848,2.0762,Act1
5.2421,1,1.6495,7.5469,18.0108,0.7098,2.139,Act1
3.8855,1,1.3812,7.729,72.043,0.7145,2.0347,Act1
5.2305,1,1.5239,7.6667,59.4689,0.6968,2.0753,Act1
6.583,1,1.647,7.4706,18.0108,0.6961,2.143,Act1
4.8347,1,1.5385,7.5345,18.0108,0.6771,2.0792,Act1
3.096,1,1.3826,8.0719,18.0108,0.7697,1.9507,Act1
1.5099,1,1.2426,7.9212,50.9079,0.6456,2.0603,Act1
4.0025,1,1.3785,8.1861,18.0108,0.6983,2.0645,Act1
3.8867,1,1.4583,7.9949,136.2746,0.6751,2.0914,Act1
5.7204,1,1.6052,7.9981,0.0,0.6938,2.1819,Act1
3.8044,1,1.5268,7.9361,77.0991,0.7188,2.0519,Act1
5.4368,1,1.3307,6.942,0.0,0.6946,2.0927,Act1
1.318,1,1.3117,7.94,83.8051,0.6694,2.038,Act-1
2.7636,1,1.4541,7.7267,34.6738,0.6805,2.0677,Act1
-0.1677,0,1.303,7.9074,68.9187,0.6758,2.0236,Act-1
3.681,1,1.5425,8.0714,18.0108,0.7059,2.1043,Act1
4.35,1,1.5503,7.8464,34.4157,0.7035,2.1359,Act1
2.9723,1,1.2461,7.8173,0.0,0.6934,2.074,Act1
3.1416,1,1.5141,7.7018,18.0108,0.757,2.1225,Act1
1.664,1,1.3987,7.5758,16.663,0.6998,1.9853,Act1
3.9822,1,1.4409,7.5208,36.0215,0.6837,2.0053,Act1
2.8172,1,1.3961,8.0679,51.2013,0.7248,2.0564,Act1
3.6485,1,1.5808,8.1422,34.7963,0.7118,2.0549,Act-1
3.882,1,1.3691,7.4873,34.6738,0.6984,2.1064,Act-1
4.2665,1,1.476,8.0278,18.0108,0.6739,2.1357,Act1
3.9668,1,1.3839,7.5833,85.5817,0.6382,2.1022,Act1
3.3088,1,1.4517,7.7609,54.0323,0.6702,2.0661,Act1
5.0104,1,1.5474,7.5,36.0215,0.6981,2.1306,Act1
2.9944,1,1.3805,8.0952,35.899,0.6945,2.1308,Act1
4.2849,1,1.2766,8.0685,18.0108,0.6639,2.0603,Act1
4.4979,1,1.599,8.1902,77.0991,0.6917,2.1558,Act-1
3.3417,1,1.5175,8.4688,34.6738,0.7059,2.0804,Act1
4.5675,1,1.5677,7.6548,18.0108,0.6909,2.1263,Act1
5.4013,1,1.5245,8.1065,42.6833,0.7191,2.0833,Act1
4.3582,1,1.4115,7.5859,18.0108,0.6726,2.1302,Act1
2.3882,1,1.3311,7.6085,18.0108,0.6754,2.0443,Act1
5.1398,1,1.5867,8.112,60.6941,0.7335,2.021,Act1
3.833,1,1.4007,8.0768,52.4265,0.7442,2.0539,Act1
3.5845,1,1.2952,8.391,0.0,0.6665,2.0911,Act1
4.9584,1,1.4091,7.6076,18.0108,0.676,2.0668,Act1
2.9798,1,1.4623,7.904,0.0,0.7353,2.0666,Act1
1.3231,1,1.4774,7.6905,16.7855,0.714,1.9926,Act-1
3.1749,1,1.5868,7.5269,34.6738,0.6889,2.1165,Act1
3.9588,1,1.1228,7.7273,36.0215,0.618,2.0423,Act1
3.1412,1,1.5046,8.0806,126.9482,0.6567,2.1183,Act-1
3.4893,1,1.3006,7.5049,54.0323,0.6338,2.0609,Act-1
4.1552,0,1.1527,7.5734,18.0108,0.6436,2.0792,Act1
5.7176,1,1.42,7.7682,42.6833,0.6848,2.0774,Act1
2.3873,1,1.3536,8.45,18.0108,0.6492,2.0485,Act1
4.3823,1,1.4038,8.0874,36.0215,0.651,2.0739,Act1
4.2516,1,1.2575,7.4667,0.0,0.6611,2.0719,Act1
4.8392,1,1.5219,8.2613,36.0215,0.6564,2.1167,Act1
2.7097,1,1.5375,8.0028,16.405,0.7045,2.1057,Act1
3.9641,1,1.5562,7.6867,34.7963,0.6987,2.0763,Act1
2.1414,1,1.4816,7.942,42.6833,0.6829,2.0302,Act-1
4.6318,1,1.3993,7.5469,77.4796,0.6417,2.0884,Act1
4.9275,1,1.4259,7.5153,18.0108,0.6812,2.0218,Act1
3.2656,1,1.2317,7.5054,36.0215,0.6343,2.1377,Act-1
3.2057,1,1.2841,7.6444,18.0108,0.668,2.0367,Act1
3.6875,1,1.391,7.6667,16.7855,0.6671,2.0555,Act1
4.3698,1,1.4212,7.4462,18.0108,0.653,2.0325,Act1
3.1151,1,1.2747,7.5222,18.0108,0.6372,2.1433,Act1
2.9312,1,1.2634,7.3448,18.0108,0.6416,2.1429,Act1
5.0034,1,1.414,7.7451,18.0108,0.6506,2.0887,Act1
3.7578,1,1.3119,7.5889,36.0215,0.6305,2.0842,Act1
2.684,1,1.374,7.9167,59.4689,0.6511,2.0323,Act1
5.3513,1,1.3156,7.4722,34.7963,0.6258,2.0868,Act1
3.899,1,1.3152,7.6262,16.405,0.6749,2.1438,Act1
1.9807,1,1.405,7.5873,34.7963,0.6747,2.0049,Act1
3.6539,1,1.3481,8.2725,18.0108,0.6784,2.0717,Act1
4.3134,1,1.3123,7.4905,18.0108,0.665,2.1433,Act1
2.9773,1,1.3559,7.6559,34.7963,0.6493,2.0494,Act1
2.6457,1,1.345,7.871,34.7963,0.6492,2.0371,Act1
4.1146,1,1.3146,7.4568,18.0108,0.6294,2.0849,Act1
0.9801,0,1.1878,7.9615,0.0,0.6529,2.023,Act1
1.8049,1,1.4087,7.7778,16.663,0.6858,2.0441,Act1
3.5058,1,1.3772,7.6528,16.7855,0.6875,2.0253,Act1
3.9927,1,1.4013,7.4286,36.0215,0.6619,2.0504,Act1
3.8254,1,1.3795,7.4236,36.0215,0.6991,2.0406,Act1
3.3774,1,1.4035,7.5185,36.0215,0.6667,2.0443,Act-1
3.3979,1,1.4022,7.6131,78.7048,0.6643,2.0457,Act-1
3.7282,1,1.3795,7.4236,36.0215,0.6991,2.0408,Act1
3.8425,1,1.4127,7.4815,36.0215,0.6685,2.0459,Act1
3.1526,1,1.3986,7.6667,36.0215,0.6698,2.0418,Act1
4.3374,1,1.4046,7.858,36.0215,0.6755,2.0455,Act1
3.6542,1,1.4081,7.523,36.0215,0.6601,2.0466,Act-1
2.9118,1,1.3999,7.4551,36.0215,0.671,2.0412,Act1
3.8425,1,1.4035,7.4815,36.0215,0.6685,2.0457,Act1
4.1862,1,1.4069,7.6538,36.0215,0.6769,2.0454,Act-1
3.8425,1,1.4058,7.4815,36.0215,0.6685,2.0458,Act1
3.5849,1,1.4109,7.5769,78.7048,0.6735,2.0452,Act1
4.8683,1,1.3991,8.0259,36.0215,0.669,2.0483,Act1
3.7821,1,1.3112,7.4094,36.0215,0.6408,2.0431,Act1
2.7195,1,1.6335,7.5486,16.663,0.7317,2.1324,Act1
3.2054,1,1.6335,7.5069,16.7855,0.7324,2.13,Act1
2.5899,1,1.51,7.6987,18.0108,0.7024,2.1056,Act1
3.1169,1,1.5453,7.7346,18.0108,0.6947,2.1253,Act1
3.077,1,1.519,7.7387,34.7963,0.7197,2.0595,Act1
3.4642,1,1.5325,7.5885,16.7855,0.6777,2.074,Act1
2.882,1,1.5374,7.6603,18.0108,0.6862,2.0952,Act1
2.8461,1,1.5385,7.8276,50.9079,0.6817,2.0966,Act1
3.6147,1,1.5395,7.6548,18.0108,0.6766,2.096,Act1
2.8706,1,1.5465,7.6987,18.0108,0.6845,2.0913,Act1
3.6147,1,1.5302,7.6548,18.0108,0.6766,2.0959,Act1
2.1549,1,1.3309,7.7143,60.6941,0.653,2.0471,Act1
3.3442,1,1.4107,7.5267,18.0108,0.6793,2.0659,Act1
4.074,1,1.4084,7.5309,18.0108,0.6708,2.0676,Act1
3.1415,1,1.5377,7.8908,18.0108,0.6867,2.1066,Act1
3.0605,1,1.5588,7.9933,32.8972,0.7164,2.1062,Act1
2.6754,1,1.5363,7.9839,36.0215,0.6856,2.1066,Act-1
2.9382,1,1.5377,7.9598,60.6941,0.6867,2.1066,Act1
3.1103,1,1.5146,7.7071,18.0108,0.6819,2.1064,Act1
2.6928,1,1.5244,7.8737,0.0,0.7083,2.1087,Act1
3.1189,1,1.5051,7.7172,18.0108,0.6819,2.1086,Act1
3.1746,1,1.5799,7.8438,34.7963,0.7011,2.1066,Act-1
4.6583,1,1.3113,7.537,18.0108,0.6468,2.0409,Act1
3.7401,1,1.265,7.6068,60.6941,0.6693,2.0933,Act1
4.1768,1,1.2723,7.4583,60.6941,0.6673,2.0934,Act1
2.8538,1,1.3679,7.654,18.0108,0.6628,2.0701,Act1
3.5708,1,1.5597,7.5972,16.663,0.7011,2.0636,Act-1
2.9202,1,1.5413,7.9423,59.3464,0.6936,2.0635,Act1
3.353,1,1.324,8.2649,0.0,0.6532,2.0671,Act1
3.3739,1,1.3884,7.7312,18.0108,0.6721,2.0937,Act1
4.6414,1,1.4946,7.6157,0.0,0.6821,2.0543,Act1
4.8834,1,1.4355,7.3205,0.0,0.6744,2.0702,Act1
5.4192,1,1.4391,7.3457,0.0,0.6592,2.074,Act1
5.1395,1,1.5241,7.5591,42.6833,0.684,2.0646,Act1
5.1646,1,1.5114,7.6559,42.6833,0.7072,2.0702,Act1
5.1677,1,1.526,7.5111,42.6833,0.6881,2.078,Act1
4.1996,1,1.3316,7.536,18.0108,0.6503,2.1434,Act1
4.5686,1,1.4246,7.6494,18.0108,0.6645,2.0219,Act1
2.545,1,1.3184,8.386,50.9079,0.7157,2.0333,Act-1
3.0914,1,1.3099,7.8041,36.0215,0.735,2.0227,Act1
2.7234,1,1.3161,8.0088,36.0215,0.7053,2.0324,Act1
2.7686,1,1.4259,7.6333,92.3661,0.6528,2.088,Act1
2.1813,1,1.3783,7.8241,34.6738,0.7027,2.0006,Act1
3.1345,1,1.4394,7.8838,16.663,0.676,2.0558,Act1
