@RELATION Pampa_Data

@ATTRIBUTE LOGPcons NUMERIC
@ATTRIBUTE MACCSFP125 NUMERIC
@ATTRIBUTE PCR NUMERIC
@ATTRIBUTE Psi_e_A NUMERIC
@ATTRIBUTE P_VSA_ppp_D NUMERIC
@ATTRIBUTE Mp NUMERIC
@ATTRIBUTE SpMin1_Bh(p) NUMERIC
@ATTRIBUTE Actividad {Act-1,Act1}

@DATA
-5.3984,1,1.0925,8.3465,495.3401,0.6549,2.0342,Act-1
2.603,0,1.0976,7.8224,170.7334,0.6203,2.1489,Act1
-2.1574,1,1.2562,8.4767,426.8334,0.6259,2.0711,Act-1
-1.5253,0,1.0426,9.2465,0.0,0.6757,1.6252,Act-1
0.0925,0,1.363,8.1705,502.414,0.5993,2.0541,Act-1
0.7936,1,1.2195,7.9603,128.05,0.6364,2.1059,Act-1
5.0192,1,1.319,8.9714,18.0108,0.6953,2.0239,Act1
0.5195,0,1.2382,8.5944,160.9472,0.6211,2.0243,Act-1
0.88,0,1.2417,8.4107,118.2639,0.6273,2.0241,Act-1
2.6483,1,1.3062,8.9799,60.6941,0.6818,2.0351,Act-1
-1.6575,0,1.1293,8.4769,160.9472,0.6018,1.9741,Act1
-1.5505,0,1.1499,8.6083,0.0,0.6648,1.994,Act-1
2.8784,1,1.5087,7.7323,103.3774,0.6979,2.0807,Act1
0.614,0,1.1018,8.3155,170.7334,0.6241,2.1405,Act-1
1.6492,0,1.0605,8.1667,128.05,0.6184,2.1458,Act-1
1.3917,0,1.1039,8.2006,128.05,0.6272,2.14,Act1
1.4264,0,1.1054,8.0032,128.05,0.6284,2.1394,Act1
2.0832,0,1.2035,8.25,85.3667,0.66,2.1394,Act-1
0.575,0,1.1052,8.313,85.3667,0.6487,2.1393,Act-1
1.5389,0,1.0619,7.9647,128.05,0.6195,2.1447,Act1
1.0799,0,1.0649,8.1944,85.3667,0.6242,2.1447,Act-1
0.686,0,1.0633,8.2796,85.3667,0.6396,2.1446,Act-1
1.6408,0,1.1058,8.1944,128.05,0.628,2.1394,Act-1
1.4063,0,1.1135,8.0545,85.3667,0.6379,2.1358,Act-1
5.1619,0,1.0548,7.5806,42.6833,0.6218,2.1347,Act1
6.0062,0,1.0541,7.4417,0.0,0.6227,2.135,Act-1
5.4531,0,1.1464,7.5361,0.0,0.6454,2.1349,Act-1
4.5984,0,1.1196,7.5891,0.0,0.6394,2.1349,Act1
2.7416,0,1.1615,7.7103,128.05,0.6333,2.1333,Act1
3.6855,0,1.1644,7.5292,85.3667,0.6374,2.1333,Act-1
5.9848,0,1.1479,7.4684,42.6833,0.6318,2.1336,Act1
3.7116,0,1.1781,7.5958,42.6833,0.6496,2.1328,Act1
4.936,0,1.1584,7.6715,42.6833,0.6545,2.1345,Act1
2.6648,0,1.115,7.875,42.6833,0.6338,2.1392,Act-1
2.7187,0,1.069,7.6771,85.3667,0.6327,2.1172,Act1
4.4483,0,1.0,7.1984,42.6833,0.6377,2.1367,Act-1
3.5911,0,1.0686,7.5079,42.6833,0.6238,2.146,Act-1
3.0541,0,1.0811,7.9633,0.0,0.6384,2.1471,Act1
5.7179,0,1.1439,7.5323,0.0,0.6428,2.1444,Act-1
3.6601,0,1.0722,7.5714,0.0,0.6342,2.1437,Act1
4.0732,0,1.0572,7.4846,0.0,0.6453,2.1117,Act1
5.9626,0,1.1702,8.473,36.0215,0.6342,2.1451,Act-1
3.2148,0,1.133,7.7101,42.6833,0.6469,2.124,Act1
3.242,0,1.1817,7.4954,75.5805,0.6301,2.1384,Act1
1.9871,1,1.3155,7.8447,34.6738,0.6752,2.0238,Act1
4.5612,1,1.3233,8.93,36.0215,0.6462,2.0418,Act1
3.0872,1,1.3994,8.572,68.9187,0.7257,1.9855,Act1
2.2297,1,1.5104,7.8922,0.0,0.6684,2.0976,Act1
2.969,1,1.2987,8.1929,93.5913,0.6243,2.0395,Act1
3.5297,0,1.0077,7.7083,85.3667,0.6069,2.156,Act1
4.178,0,1.0078,7.6726,128.05,0.6036,2.1559,Act1
3.1324,0,1.0326,7.9368,42.6833,0.6225,2.1484,Act-1
3.2051,0,1.0075,7.7989,170.7334,0.6015,2.1556,Act1
3.588,0,1.1904,8.4042,0.0,0.6286,2.0328,Act-1
3.5875,1,1.5005,7.7599,95.2453,0.656,2.0749,Act-1
0.6723,0,1.0457,8.3016,42.6833,0.6326,1.9081,Act-1
0.3333,0,1.2378,8.3974,160.9472,0.613,2.0164,Act-1
0.7005,0,1.2437,8.1667,118.2639,0.6193,2.0161,Act1
1.8902,1,1.294,8.4167,111.602,0.6508,2.0932,Act1
1.3869,0,1.161,8.2067,103.3774,0.6257,2.0248,Act-1
2.5179,1,1.3475,8.0303,50.9079,0.6515,2.0326,Act-1
2.3704,1,1.3122,7.9206,146.0608,0.6425,2.0359,Act1
-1.899,0,1.1314,8.3039,172.2961,0.6,2.0577,Act-1
-0.6974,0,1.208,8.4632,267.449,0.7548,1.987,Act-1
4.1325,1,1.4087,7.8407,50.9079,0.6875,2.0403,Act-1
1.2937,1,1.5369,8.1253,636.7138,0.6518,2.103,Act1
-0.7843,0,1.1733,8.7024,132.6874,0.6562,2.0673,Act-1
3.9531,0,1.1384,7.7645,0.0,0.6512,2.1116,Act1
4.0595,1,1.2266,7.7903,16.405,0.6784,2.0937,Act1
3.4213,1,1.2822,7.677,36.0215,0.6589,2.0179,Act1
-0.7843,0,1.1733,8.7024,132.6874,0.6562,2.0673,Act-1
0.8978,1,1.3147,8.0804,139.3989,0.6401,2.0757,Act1
3.5858,0,1.2026,7.8333,103.3774,0.6366,2.0738,Act1
1.8955,0,1.2893,8.0714,111.602,0.6221,2.0472,Act1
1.3763,0,1.2789,8.0114,111.602,0.6131,2.0497,Act1
4.554,0,1.055,7.4357,34.4157,0.6209,2.1232,Act1
1.8749,0,1.1045,8.1691,128.05,0.6262,2.145,Act-1
2.0106,0,1.1018,8.0337,128.05,0.6413,2.1285,Act1
1.6676,0,1.1111,8.0278,85.3667,0.6351,2.1358,Act1
3.5681,0,1.1705,8.0741,85.3667,0.6465,2.1409,Act-1
-0.73,0,1.259,8.4245,246.3139,0.6433,2.1498,Act-1
3.9668,1,1.3839,7.5833,85.5817,0.6382,2.1022,Act1
0.1983,0,1.0349,7.847,384.1501,0.5988,2.1507,Act-1
-0.2445,0,1.2994,8.1578,288.9972,0.6109,2.0513,Act-1
2.8725,0,1.1513,7.819,103.3774,0.6254,2.0322,Act-1
3.9865,1,1.2311,7.47,42.6833,0.6386,2.0788,Act-1
1.8765,0,1.199,8.1528,49.1797,0.6604,2.0592,Act-1
3.2761,0,1.2648,8.0435,128.05,0.6257,2.0338,Act1
4.1018,1,1.3828,8.0833,18.0108,0.6717,1.9999,Act1
3.8606,1,1.3799,7.8951,18.0108,0.6731,1.9982,Act1
2.6714,1,1.4749,7.7011,0.0,0.679,2.0262,Act1
2.6714,1,1.4749,7.7011,0.0,0.679,2.0262,Act1
3.1759,1,1.2355,7.879,103.3774,0.6389,2.1052,Act1
2.4536,0,1.2295,8.4107,60.6941,0.6418,2.1022,Act-1
1.2238,0,1.1729,8.0929,159.679,0.625,2.1064,Act-1
1.2625,1,1.3455,8.0644,18.0108,0.6651,2.1247,Act-1
1.308,0,1.2455,8.279,75.5805,0.6604,2.1101,Act-1
3.4939,1,1.347,8.1828,60.6941,0.6729,2.0942,Act1
-1.0829,0,1.0921,8.8137,103.3774,0.6082,1.9662,Act-1
1.7247,0,1.027,7.8379,256.1001,0.6028,2.1565,Act1
2.6703,0,1.0278,7.7731,213.4167,0.604,2.1568,Act-1
-0.2719,0,1.0248,7.9508,384.1501,0.5986,2.1565,Act-1
1.4058,0,1.0,7.2115,0.0,0.64,2.0985,Act-1
-7.1918,0,1.0297,8.5341,572.8942,0.5767,2.0675,Act-1
3.2876,1,1.2211,7.2121,0.0,0.6969,2.1635,Act-1
-0.3356,0,1.0,8.2469,0.0,0.6372,2.0017,Act-1
0.6032,0,1.0,7.1111,0.0,0.5816,2.1367,Act1
-1.7041,0,1.048,8.4583,42.6833,0.5551,2.0341,Act-1
-1.9713,0,1.0331,8.4545,85.3667,0.5585,2.0498,Act-1
-1.1729,0,1.0,7.2143,0.0,0.5607,2.0709,Act1
0.3025,0,1.0,7.1667,0.0,0.5664,2.0622,Act1
-1.7482,0,1.0,7.8571,42.6833,0.5433,2.0382,Act-1
-1.8571,0,1.037,8.1667,32.8972,0.5548,2.0405,Act-1
-3.635,0,1.111,8.5735,155.3957,0.6232,2.0377,Act-1
-2.1953,1,1.338,8.2083,121.3882,0.6314,2.1236,Act1
-0.907,0,1.1256,7.9493,42.6833,0.6339,2.0638,Act-1
-0.4984,0,1.1256,7.7319,42.6833,0.6294,2.0865,Act1
0.4545,1,1.123,7.6955,42.6833,0.6899,2.0838,Act-1
0.4009,0,1.1396,7.6894,42.6833,0.6226,2.0804,Act-1
2.6316,1,1.3074,7.3175,0.0,0.6614,2.13,Act1
0.9688,0,1.1399,7.663,42.6833,0.6206,2.0271,Act-1
1.2626,1,1.2354,7.7233,42.6833,0.6448,2.1146,Act-1
1.6176,1,1.2296,7.6955,42.6833,0.6416,2.1247,Act-1
1.3979,0,1.1302,7.3587,42.6833,0.6119,2.1273,Act-1
0.5138,1,1.2435,7.0303,0.0,0.7155,2.1092,Act-1
0.0978,0,1.1541,7.6859,85.3667,0.6412,2.19,Act-1
2.3928,1,1.2043,7.3767,0.0,0.6452,2.1182,Act1
3.2433,1,1.4554,7.6577,0.0,0.6238,2.1671,Act-1
-1.3173,0,1.1468,8.0365,93.5913,0.6638,2.0765,Act-1
3.3306,1,1.5688,7.5833,0.0,0.6885,2.2717,Act1
1.5383,1,1.4857,7.4265,131.5887,0.7035,2.2419,Act-1
0.8323,1,1.4765,7.1667,0.0,0.7385,2.0496,Act-1
1.3048,1,1.1988,7.6699,42.6833,0.6517,2.1781,Act-1
2.0261,1,1.5329,7.6176,65.7944,0.684,2.2419,Act-1
0.616,0,1.3313,7.9667,42.8057,0.6385,2.0666,Act-1
2.3465,1,1.401,7.3095,3.1243,0.6614,2.0524,Act1
1.3909,1,1.3229,7.8021,3.1243,0.6608,2.0577,Act-1
2.4302,1,1.3455,7.3914,3.1243,0.6658,2.0516,Act-1
2.2468,1,1.3515,7.4259,3.1243,0.7012,2.0679,Act-1
1.639,1,1.3571,7.3333,3.1243,0.6803,2.0718,Act-1
1.8515,0,1.153,7.2659,3.1243,0.6087,2.041,Act-1
1.2638,1,1.3152,7.5139,3.1243,0.6612,2.0603,Act-1
0.518,1,1.2844,7.4074,3.1243,0.6615,2.0426,Act-1
1.1132,1,1.3189,7.4386,3.1243,0.6452,2.0577,Act-1
2.1139,0,1.194,7.3981,36.0215,0.6849,2.1074,Act-1
-0.2675,0,1.1445,7.7063,45.8077,0.625,2.0599,Act-1
0.3392,1,1.318,7.6795,3.1243,0.6633,2.1027,Act-1
1.3244,1,1.382,7.4686,21.1351,0.6826,2.0963,Act-1
-0.9123,1,1.3257,7.7564,21.1351,0.6544,2.0962,Act-1
2.2695,1,1.3113,7.9137,3.1243,0.6603,2.1001,Act-1
1.9462,1,1.3207,7.3578,3.1243,0.6856,2.0987,Act-1
1.9796,1,1.4403,7.4206,18.0108,0.6912,2.1259,Act-1
2.2183,1,1.402,7.3167,18.0108,0.6667,2.0442,Act-1
-0.5787,0,1.2536,7.7121,60.6941,0.6164,2.0343,Act-1
1.6959,1,1.3554,7.3083,18.0108,0.6513,2.0468,Act-1
0.0426,0,1.2035,8.5722,93.5913,0.6734,2.0315,Act-1
3.8574,1,1.4601,8.1286,18.0108,0.7578,2.0504,Act1
2.5467,1,1.3755,8.0871,0.0,0.7165,2.0321,Act-1
1.0282,1,1.2618,8.2315,32.8972,0.6545,2.0621,Act1
0.994,1,1.3763,8.2917,34.4157,0.6989,2.0636,Act1
1.7265,1,1.4214,7.9599,0.0,0.6864,2.0835,Act1
2.2739,1,1.4685,8.1167,18.0108,0.7149,2.0795,Act1
2.2681,1,1.5116,7.9684,18.0108,0.7099,2.0808,Act1
0.8144,1,1.4214,7.9969,0.0,0.6849,2.0755,Act-1
1.3564,1,1.4685,8.1567,18.0108,0.7139,2.0711,Act-1
-1.8933,1,1.2853,8.1872,193.8444,0.6285,2.0078,Act-1
-0.7666,0,1.0419,8.4167,75.5805,0.6432,1.8726,Act-1
3.2836,0,1.0,7.4295,0.0,0.7356,1.6094,Act1
5.6062,0,1.2412,7.6159,85.3667,0.6289,2.0912,Act1
0.346,0,1.0622,8.5333,103.3774,0.6051,1.9335,Act-1
2.7477,0,1.2526,8.0,60.6941,0.6365,2.0358,Act1
-2.3158,1,1.4232,8.155,444.4322,0.6666,2.0972,Act-1
3.5248,0,1.1708,7.9907,0.0,0.6351,1.8949,Act-1
4.2322,0,1.1517,7.7951,0.0,0.6351,1.8948,Act-1
2.9135,1,1.2623,8.0479,52.4265,0.6455,2.1127,Act1
2.6607,1,1.2671,7.9306,52.4265,0.6396,2.1206,Act-1
4.5847,0,1.0161,7.5856,42.6833,0.6263,2.1228,Act1
4.4299,0,1.0223,7.6495,42.6833,0.6171,2.1227,Act-1
3.6287,1,1.3045,7.6609,0.0,0.6443,2.1576,Act-1
2.6997,1,1.3195,7.5625,42.6833,0.652,2.1566,Act1
5.7458,0,1.2494,7.5808,128.05,0.6187,2.0616,Act1
4.7172,0,1.1978,7.5694,128.05,0.6227,2.0613,Act1
5.1311,0,1.1546,7.5694,128.05,0.6097,2.0637,Act1
4.3608,0,1.1521,7.6714,170.7334,0.6036,2.0651,Act-1
5.1185,0,1.1546,7.5722,128.05,0.6097,2.0636,Act1
-0.5499,0,1.2311,8.1917,136.2746,0.6343,1.9625,Act-1
2.7659,0,1.089,7.6806,0.0,0.631,1.9707,Act1
6.1666,0,1.1948,7.4694,85.3667,0.617,2.0627,Act-1
3.6687,0,1.1262,7.6667,0.0,0.6532,2.1361,Act1
1.583,0,1.0095,7.6106,75.5805,0.6134,2.0563,Act-1
3.9898,0,1.1225,7.8017,0.0,0.6394,2.144,Act-1
-0.2505,0,1.2637,8.4907,246.3139,0.6689,2.1394,Act-1
7.1668,0,1.1955,7.3362,42.6833,0.6193,2.0625,Act-1
5.2048,0,1.1531,7.5722,128.05,0.6097,2.0637,Act-1
7.1878,0,1.1566,7.3006,42.6833,0.614,2.0637,Act-1
2.1425,0,1.11,8.2204,85.3667,0.6348,2.1405,Act1
2.9969,1,1.2246,8.05,42.6833,0.6376,2.078,Act-1
4.0903,1,1.498,7.7172,32.8972,0.6806,2.0759,Act1
3.7412,1,1.5385,7.6667,36.0215,0.655,2.0677,Act1
-0.4657,0,1.0821,8.6111,75.5805,0.5861,1.9225,Act-1
3.8567,0,1.1771,7.6014,42.6833,0.6491,2.1176,Act1
5.1154,0,1.0529,7.2955,42.6833,0.6229,2.1381,Act1
1.5279,1,1.2826,7.3967,85.3667,0.6644,2.1437,Act-1
2.467,0,1.0089,7.4298,42.6833,0.6071,2.1626,Act1
1.5817,0,1.0259,8.0162,85.3667,0.6029,2.1604,Act-1
0.033,0,1.1795,8.4103,136.397,0.7088,2.0489,Act-1
-0.1991,0,1.1811,8.4778,136.2746,0.6958,2.0492,Act-1
-0.1991,0,1.1811,8.4778,136.2746,0.6958,2.0492,Act-1
0.033,0,1.1795,8.4103,136.397,0.7088,2.0489,Act-1
-0.1991,0,1.1811,8.4778,136.2746,0.6958,2.0492,Act-1
3.582,1,1.247,7.6458,0.0,0.6499,2.0766,Act1
4.5675,1,1.6352,7.9048,33.5711,0.6824,1.9799,Act1
4.0684,1,1.5902,8.1603,222.3152,0.654,1.9829,Act-1
5.3215,1,1.6141,7.923,76.2544,0.6645,2.0283,Act1
0.4791,1,1.3195,7.5486,45.8077,0.6465,2.1933,Act-1
2.5209,0,1.3392,7.5833,0.0,0.6903,1.9891,Act-1
3.4546,1,1.4204,7.9722,77.0991,0.7123,2.0578,Act1
2.2645,0,1.277,7.9167,42.6833,0.6449,2.008,Act-1
2.3877,0,1.2365,7.6944,60.6941,0.6168,2.016,Act-1
3.3128,0,1.0532,7.9359,42.6833,0.5916,1.9677,Act1
6.9406,0,1.1009,7.5101,0.0,0.6249,2.139,Act-1
3.8358,0,1.2044,7.5679,0.0,0.6828,2.0542,Act-1
2.5905,1,1.2648,7.6212,34.7963,0.6303,2.1369,Act1
1.408,0,1.169,7.8333,85.3667,0.6542,2.1472,Act-1
3.8179,0,1.1726,7.4008,42.6833,0.6434,2.18,Act-1
0.2527,0,1.11,8.119,50.9079,0.6629,1.8234,Act-1
3.0585,0,1.3352,8.0238,196.9687,0.6166,2.0619,Act-1
3.541,1,1.2994,7.7661,0.0,0.7125,2.0043,Act1
3.0089,0,1.2338,7.7989,18.0108,0.6399,2.0061,Act1
2.0173,0,1.2322,7.7632,60.6941,0.613,1.9967,Act-1
3.9738,0,1.2925,8.0222,81.7794,0.6746,1.9982,Act-1
3.7997,1,1.401,7.4206,0.0,0.6684,2.0353,Act-1
3.545,1,1.382,7.4831,18.0108,0.6898,2.045,Act-1
3.6052,1,1.2705,7.7168,0.0,0.679,2.063,Act-1
-0.1111,0,1.2185,8.2821,16.7855,0.6407,1.9708,Act-1
-0.3019,0,1.1444,8.1889,75.5805,0.6567,1.9624,Act-1
-0.1986,0,1.2739,8.466,203.6306,0.6654,2.1384,Act-1
-0.2982,0,1.2197,8.5792,68.9187,0.6606,2.0661,Act-1
1.3201,0,1.2434,8.4111,118.2639,0.745,1.9833,Act-1
5.3416,1,1.3728,8.2164,85.3667,0.8718,1.9339,Act1
-1.6563,0,1.2278,8.4792,182.0823,0.6133,2.0449,Act-1
-0.472,0,1.3324,8.9792,50.7854,0.6389,1.9583,Act1
2.4081,1,1.4001,8.0764,65.7944,0.7507,2.0224,Act1
3.1826,1,1.414,8.0744,77.0991,0.7462,2.0477,Act1
2.1382,1,1.4508,8.6019,82.1994,0.6914,2.0311,Act-1
2.4225,1,1.4608,8.4613,100.2101,0.7113,2.0352,Act1
2.8179,1,1.414,8.23,77.0991,0.7226,2.0509,Act-1
2.1914,1,1.414,8.07,109.9963,0.7134,2.0535,Act-1
5.2246,1,1.5623,8.1571,18.0108,0.7791,2.0301,Act-1
4.8688,1,1.2707,7.6345,52.807,0.7215,2.0296,Act1
3.3426,1,1.4883,8.1429,18.0108,0.7079,2.0515,Act1
3.3102,1,1.4883,8.1429,18.0108,0.7079,2.052,Act1
-0.1582,1,1.338,8.1458,242.7764,0.6314,2.1196,Act1
4.0469,1,1.4771,8.4599,50.9079,0.6828,2.0642,Act1
2.2191,1,1.5041,7.8246,0.0,0.734,2.0533,Act1
5.7592,1,1.6453,7.6004,0.0,0.7285,2.1169,Act1
4.6138,1,1.5987,7.8093,18.0108,0.7456,2.0143,Act1
3.4268,1,1.4082,7.9456,34.4157,0.7539,2.0312,Act1
3.0605,1,1.5588,7.9933,32.8972,0.7164,2.1062,Act1
3.1746,1,1.5799,7.8438,34.7963,0.7011,2.1066,Act-1
3.5133,1,1.5742,7.8131,18.0108,0.6948,2.1067,Act1
2.9382,1,1.5377,7.9598,60.6941,0.6867,2.1066,Act1
2.224,1,1.4175,8.075,51.4593,0.6923,1.9982,Act1
3.5005,1,1.4972,7.95,60.6941,0.6961,2.1299,Act1
4.6657,1,1.5486,8.2161,32.8972,0.7153,2.1689,Act1
3.5268,1,1.5049,8.1418,60.6941,0.727,2.0327,Act-1
3.0243,1,1.4021,8.5104,51.4593,0.6729,2.0032,Act-1
3.3417,1,1.5175,8.4688,34.6738,0.7059,2.0804,Act1
4.0615,1,1.5168,8.3778,16.405,0.7208,2.151,Act1
